
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.3645255760732870e-314	0.0000000000000000e+00	3.0000005694569190e+01	5.9999854930547034e+00	8.3855419469449777e-01	4.5058136596556914e-02	1.9631275851119528e-01	9.9999999999999989e-01
6.6666666666666670e-05	2.3645255760732870e-314	1.9631275851119528e-01	3.0000029471199415e+01	5.9999854930666530e+00	8.3855419469778392e-01	4.5058136580140656e-02	1.9631275851119531e-01	9.9999999999999989e-01
1.3333333333333334e-04	2.3645255760732870e-314	1.9631275851119531e-01	3.0000077024459845e+01	5.9999854930913745e+00	8.3855419470435544e-01	4.5058136547314297e-02	1.9631275851119545e-01	9.9999999999999978e-01
2.0000000000000001e-04	2.3645255760732870e-314	1.9631275851119545e-01	3.0000148354350486e+01	5.9999854931304890e+00	8.3855419471420811e-01	4.5058136498148056e-02	1.9631275851119528e-01	9.9999999999999978e-01
2.6666666666666668e-04	2.3645255760732870e-314	1.9631275851119528e-01	3.0000243460871292e+01	5.9999854931864425e+00	8.3855419472733927e-01	4.5058136432654265e-02	1.9631275851119534e-01	1.0000000000000000e+00
3.3333333333333338e-04	2.3645255760732870e-314	1.9631275851119534e-01	3.0000362344022310e+01	5.9999854932624963e+00	8.3855419474374437e-01	4.5058136350904367e-02	1.9631275851119528e-01	9.9999999999999978e-01
4.0000000000000002e-04	2.3645255760732870e-314	1.9631275851119528e-01	3.0000505003803418e+01	5.9999854933627192e+00	8.3855419476341564e-01	4.5058136252994464e-02	1.9631275851119520e-01	9.9999999999999978e-01
4.6666666666666666e-04	2.3645255760732870e-314	1.9631275851119520e-01	3.0000671440214628e+01	5.9999854934919998e+00	8.3855419478634563e-01	4.5058136139031743e-02	1.9631275851119523e-01	9.9999999999999978e-01
5.3333333333333336e-04	2.3645255760732870e-314	1.9631275851119523e-01	3.0000861653255889e+01	5.9999854936560366e+00	8.3855419481252480e-01	4.5058136009133228e-02	1.9631275851119528e-01	9.9999999999999978e-01
6.0000000000000006e-04	2.3645255760732870e-314	1.9631275851119528e-01	3.0001075642927159e+01	5.9999854938613515e+00	8.3855419484194382e-01	4.5058135863417205e-02	1.9631275851119528e-01	9.9999999999999956e-01
6.6666666666666675e-04	2.3645255760732870e-314	1.9631275851119528e-01	3.0001313409228381e+01	5.9999854941152702e+00	8.3855419487458949e-01	4.5058135702066002e-02	1.9631275851119540e-01	9.9999999999999967e-01
7.3333333333333334e-04	2.3645255760732870e-314	1.9631275851119540e-01	3.0001574952159469e+01	5.9999854944259425e+00	8.3855419491044969e-01	4.5058135525232385e-02	1.9631275851119517e-01	9.9999999999999967e-01
8.0000000000000004e-04	2.3645255760732870e-314	1.9631275851119517e-01	3.0001860271720393e+01	5.9999854948023223e+00	8.3855419494951000e-01	4.5058135333107312e-02	1.9631275851119517e-01	9.9999999999999956e-01
8.6666666666666674e-04	2.3645255760732870e-314	1.9631275851119517e-01	3.0002169367911065e+01	5.9999854952541849e+00	8.3855419499175410e-01	4.5058135125906389e-02	1.9631275851119512e-01	9.9999999999999967e-01
9.3333333333333332e-04	2.3645255760732870e-314	1.9631275851119512e-01	3.0002502240731399e+01	5.9999854957921208e+00	8.3855419503716655e-01	4.5058134903830413e-02	1.9631275851119523e-01	9.9999999999999967e-01
1.0000000000000000e-03	2.3645255760732870e-314	1.9631275851119523e-01	3.0002858890181333e+01	5.9999854964275352e+00	8.3855419508572782e-01	4.5058134667141814e-02	1.9631275851119512e-01	9.9999999999999967e-01
1.0666666666666667e-03	2.3645255760732870e-314	1.9631275851119512e-01	3.0003239316260757e+01	5.9999854971726396e+00	8.3855419513741991e-01	4.5058134416073432e-02	1.9631275851119506e-01	9.9999999999999956e-01
1.1333333333333334e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0003643518969586e+01	5.9999854980404699e+00	8.3855419519222119e-01	4.5058134150922170e-02	1.9631275851119512e-01	9.9999999999999944e-01
1.2000000000000001e-03	2.3645255760732870e-314	1.9631275851119512e-01	3.0004071498307681e+01	5.9999854990448762e+00	8.3855419525010932e-01	4.5058133871981251e-02	1.9631275851119506e-01	9.9999999999999956e-01
1.2666666666666668e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0004523254274975e+01	5.9999855002005082e+00	8.3855419531106290e-01	4.5058133579527870e-02	1.9631275851119517e-01	9.9999999999999956e-01
